@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R4,6-8,10,12,14'

@attribute team_a {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute team_b {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute spieltag numeric
@attribute saison_weight numeric
@attribute sun_a {S,U,N}
@attribute place_a numeric
@attribute place_b numeric
@attribute wins_pro_a numeric
@attribute points_pro_a numeric
@attribute wins_pro_b numeric
@attribute points_pro_b numeric
@attribute hg_01 numeric

@data
'Borussia Dortmund','Hansa Rostock',1,1,S,3,12,0.470588,0.568627,0.352941,0.421569,1
'Hamburger SV','1860 Munchen',1,1,U,13,11,0.294118,0.401961,0.352941,0.431373,1
'Bayer 04 Leverkusen','VfL Wolfsburg',1,1,S,4,9,0.5,0.558824,0.352941,0.460784,1
'SC Freiburg','VfB Stuttgart',1,1,S,6,15,0.441176,0.539216,0.264706,0.372549,1
'1. FC Kaiserslautern','VfL Bochum',1,1,N,8,18,0.441176,0.490196,0.205882,0.264706,1
'SV Werder Bremen','FC Energie Cottbus',1,1,S,7,14,0.441176,0.519608,0.352941,0.382353,1
'FC Bayern Munchen','Hertha BSC Berlin',1,1,S,1,5,0.558824,0.617647,0.529412,0.54902,1
'Eintracht Frankfurt','SpVgg Unterhaching',1,1,S,17,16,0.294118,0.343137,0.235294,0.343137,1
'FC Schalke 04','1. FC Koln',1,1,S,2,10,0.529412,0.607843,0.352941,0.45098,1
'Hansa Rostock','Borussia Dortmund',1,1,N,12,3,0.352941,0.421569,0.470588,0.568627,2
'1860 Munchen','Hamburger SV',1,1,U,11,13,0.352941,0.431373,0.294118,0.401961,2
'VfL Wolfsburg','Bayer 04 Leverkusen',1,1,N,9,4,0.352941,0.460784,0.5,0.558824,2
'VfB Stuttgart','SC Freiburg',1,1,N,15,6,0.264706,0.372549,0.441176,0.539216,2
'VfL Bochum','1. FC Kaiserslautern',1,1,S,18,8,0.205882,0.264706,0.441176,0.490196,2
'FC Energie Cottbus','SV Werder Bremen',1,1,N,14,7,0.352941,0.382353,0.441176,0.519608,2
'Hertha BSC Berlin','FC Bayern Munchen',1,1,N,5,1,0.529412,0.54902,0.558824,0.617647,2
'SpVgg Unterhaching','Eintracht Frankfurt',1,1,N,16,17,0.235294,0.343137,0.294118,0.343137,2
'1. FC Koln','FC Schalke 04',1,1,N,10,2,0.352941,0.45098,0.529412,0.607843,2
'FC Energie Cottbus','Borussia Dortmund',2,1,N,14,3,0.352941,0.382353,0.470588,0.568627,1
'Hertha BSC Berlin','Hamburger SV',2,1,S,5,13,0.529412,0.54902,0.294118,0.401961,1
